nama_produk,kategori,username,rating,ulasan,tanggal
Infinix Hot 30i 8/128GB,handphone,Dendy,5,"Barang masih disegel rapi, packing kardus tambahan + bubble wrap, packing aslinya utuh tidak pwnyok, pengiriman cepat, penjual reaponsif. Rekomended",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Maulana,5,"fast respon,kemasan rapih,barang ori",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,D***i,5,"Beliin buat ponakan alhamdulillah anaknya suka.. seller amanah dan cepet responnya. Makasih yah, sukses terus tokonya.. aamiin",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Andi,5,semoga Lapaknya makin Jaya... Barang dijamin Baru SegeL bagus... Lapak Recommendet.,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Ali,5,"alhamdulilah barang sudah sampai, semoga awet. terima kasih kak.",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Mohammad,5,"Produk Original, berkualitas, respon penjual sangat baik, pengiriman ekstra sangat cepat tidak sampai 1 jam barang sudah diterima, harga sangat bersahabat.",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,R***a,5,"Good, barang masih segel dan ada garansi resminya. Warna sesuai pesenan. Berfungsi dengan baik. Semoga awet ya..",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Sakhori,5,Pengiriman super cepat 2 jam sampai barang oke packing rapi,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,t***u,5,"kemasan rapi, segel dan barangnya ok",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,A***n,5,"luarbiasa seller cepat sekali respon nya,cuma 1 malam barang sampai,aman semua rapih",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Gilang,5,Alhamdulillah barang sampai pengiriman cepat tidak mengecewakan barangnya sesuai terimakasih.,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Reza,5,Respon bagus_Pengiriman Cepat_Packing Aman&Bagus: DoubleBubble wrap tebal_Barang Sesuai Spek_Harga Lebih 300K-400K (sdh termasuk ongkos 117K pengiriman dlm 3 jam) dar...,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Beni,5,barang datang dengan selamat utuh dan masih bersegel dan garansi resmi dari infinix ..mantap kk terima kasih banyak,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,muhammad,5,"paket sampai dengan selamat ya, serta unit hpnya semuanya berjalan dengan lancar, pelayanan serivcenya ramah dan sopan, semoga semakin sukses ya berkah barokah buat semua...",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,L***a,5,"barang segel aman, garansi resmi, kelengkapan ok, tapi blm diaktifin pake kartu, soalnya hrs pake wifi buat transfer semua data, harga murah dibanding toko lain, insyaAll...",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,teguh,5,recomended seler sukses terus gan makasih banyak,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Aga,5,"ori, bagus juga.. thx",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,t***h,5,recomended seler harga paling jooos,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,Juli,5,"pengiriman tidak sesuai, HP sesuai spesifikasi 👍",Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,A***I,5,terima kasih seller atas pelayanannya dan juga sangat responsif. pesanan sudah diterima dengan baik,Lebih dari 1 tahun lalu
Infinix Hot 30i 8/128GB,handphone,eka,5,"barang sudah sampai dengan selamat. seller ramah, fast respond, semoga bisa langganan",Lebih dari 1 tahun lalu
